Station Neg Pos Neg1 Neg2 Pos1 Pos2
71043__Norman_Wells_Ua__NT_YVQ 59.15 40.85 32.80 67.20 70.45 29.55
71043__Norman_Wells_Ua__NT_YVQ 57.21 42.79 66.05 33.95 69.76 30.24
71043__Norman_Wells_Ua__NT_YVQ 52.49 47.51 65.23 34.77 30.70 69.30
71043__Norman_Wells_Ua__NT_YVQ 45.95 54.05 65.12 34.88 68.39 31.61
71043__Norman_Wells_Ua__NT_YVQ 40.76 59.24 63.88 36.12 66.45 33.55
71043__Norman_Wells_Ua__NT_YVQ 41.39 58.61 34.15 65.85 31.54 68.46
71043__Norman_Wells_Ua__NT_YVQ 38.39 61.61 33.64 66.36 33.17 66.83
71043__Norman_Wells_Ua__NT_YVQ 41.06 58.94 64.93 35.07 68.14 31.86
71043__Norman_Wells_Ua__NT_YVQ 44.52 55.48 38.08 61.92 66.04 33.96
71043__Norman_Wells_Ua__NT_YVQ 48.13 51.87 39.68 60.32 67.62 32.38
71043__Norman_Wells_Ua__NT_YVQ 54.38 45.62 35.82 64.18 69.20 30.80
71043__Norman_Wells_Ua__NT_YVQ 57.44 42.56 34.68 65.32 31.28 68.72
71081__Hall_Beach__NT_YUX 59.15 40.85 32.80 67.20 70.45 29.55
71081__Hall_Beach__NT_YUX 57.21 42.79 66.05 33.95 69.76 30.24
71081__Hall_Beach__NT_YUX 52.49 47.51 65.23 34.77 30.70 69.30
71081__Hall_Beach__NT_YUX 45.95 54.05 65.12 34.88 68.39 31.61
71081__Hall_Beach__NT_YUX 40.76 59.24 63.88 36.12 66.45 33.55
71081__Hall_Beach__NT_YUX 41.39 58.61 34.15 65.85 31.54 68.46
71081__Hall_Beach__NT_YUX 38.39 61.61 33.64 66.36 33.17 66.83
71081__Hall_Beach__NT_YUX 41.06 58.94 64.93 35.07 68.14 31.86
71081__Hall_Beach__NT_YUX 44.52 55.48 38.08 61.92 66.04 33.96
71081__Hall_Beach__NT_YUX 48.13 51.87 39.68 60.32 67.62 32.38
71081__Hall_Beach__NT_YUX 54.38 45.62 35.82 64.18 69.20 30.80
71081__Hall_Beach__NT_YUX 57.44 42.56 34.68 65.32 31.28 68.72
71082__Alert__NT_WLT 59.15 40.85 32.80 67.20 70.45 29.55
71082__Alert__NT_WLT 57.21 42.79 66.05 33.95 69.76 30.24
71082__Alert__NT_WLT 52.49 47.51 65.23 34.77 30.70 69.30
71082__Alert__NT_WLT 45.95 54.05 65.12 34.88 68.39 31.61
71082__Alert__NT_WLT 40.76 59.24 63.88 36.12 66.45 33.55
71082__Alert__NT_WLT 41.39 58.61 34.15 65.85 31.54 68.46
71082__Alert__NT_WLT 38.39 61.61 33.64 66.36 33.17 66.83
71082__Alert__NT_WLT 41.06 58.94 64.93 35.07 68.14 31.86
71082__Alert__NT_WLT 44.52 55.48 38.08 61.92 66.04 33.96
71082__Alert__NT_WLT 48.13 51.87 39.68 60.32 67.62 32.38
71082__Alert__NT_WLT 54.38 45.62 35.82 64.18 69.20 30.80
71082__Alert__NT_WLT 57.44 42.56 34.68 65.32 31.28 68.72
71906__Kuujjuaq__QB_YVP 59.15 40.85 32.80 67.20 70.45 29.55
71906__Kuujjuaq__QB_YVP 57.21 42.79 66.05 33.95 69.76 30.24
71906__Kuujjuaq__QB_YVP 52.49 47.51 65.23 34.77 30.70 69.30
71906__Kuujjuaq__QB_YVP 45.95 54.05 65.12 34.88 68.39 31.61
71906__Kuujjuaq__QB_YVP 40.76 59.24 63.88 36.12 66.45 33.55
71906__Kuujjuaq__QB_YVP 41.39 58.61 34.15 65.85 31.54 68.46
71906__Kuujjuaq__QB_YVP 38.39 61.61 33.64 66.36 33.17 66.83
71906__Kuujjuaq__QB_YVP 41.06 58.94 64.93 35.07 68.14 31.86
71906__Kuujjuaq__QB_YVP 44.52 55.48 38.08 61.92 66.04 33.96
71906__Kuujjuaq__QB_YVP 48.13 51.87 39.68 60.32 67.62 32.38
71906__Kuujjuaq__QB_YVP 54.38 45.62 35.82 64.18 69.20 30.80
71906__Kuujjuaq__QB_YVP 57.44 42.56 34.68 65.32 31.28 68.72
71907__Inukjuak__QB_WPH 59.15 40.85 32.80 67.20 70.45 29.55
71907__Inukjuak__QB_WPH 57.21 42.79 66.05 33.95 69.76 30.24
71907__Inukjuak__QB_WPH 52.49 47.51 65.23 34.77 30.70 69.30
71907__Inukjuak__QB_WPH 45.95 54.05 65.12 34.88 68.39 31.61
71907__Inukjuak__QB_WPH 40.76 59.24 63.88 36.12 66.45 33.55
71907__Inukjuak__QB_WPH 41.39 58.61 34.15 65.85 31.54 68.46
71907__Inukjuak__QB_WPH 38.39 61.61 33.64 66.36 33.17 66.83
71907__Inukjuak__QB_WPH 41.06 58.94 64.93 35.07 68.14 31.86
71907__Inukjuak__QB_WPH 44.52 55.48 38.08 61.92 66.04 33.96
71907__Inukjuak__QB_WPH 48.13 51.87 39.68 60.32 67.62 32.38
71907__Inukjuak__QB_WPH 54.38 45.62 35.82 64.18 69.20 30.80
71907__Inukjuak__QB_WPH 57.44 42.56 34.68 65.32 31.28 68.72
71917__Eureka__NT_WEU 59.15 40.85 32.80 67.20 70.45 29.55
71917__Eureka__NT_WEU 57.21 42.79 66.05 33.95 69.76 30.24
71917__Eureka__NT_WEU 52.49 47.51 65.23 34.77 30.70 69.30
71917__Eureka__NT_WEU 45.95 54.05 65.12 34.88 68.39 31.61
71917__Eureka__NT_WEU 40.76 59.24 63.88 36.12 66.45 33.55
71917__Eureka__NT_WEU 41.39 58.61 34.15 65.85 31.54 68.46
71917__Eureka__NT_WEU 38.39 61.61 33.64 66.36 33.17 66.83
71917__Eureka__NT_WEU 41.06 58.94 64.93 35.07 68.14 31.86
71917__Eureka__NT_WEU 44.52 55.48 38.08 61.92 66.04 33.96
71917__Eureka__NT_WEU 48.13 51.87 39.68 60.32 67.62 32.38
71917__Eureka__NT_WEU 54.38 45.62 35.82 64.18 69.20 30.80
71917__Eureka__NT_WEU 57.44 42.56 34.68 65.32 31.28 68.72
71925__Cambridge_Bay__NT_YCB 59.15 40.85 32.80 67.20 70.45 29.55
71925__Cambridge_Bay__NT_YCB 57.21 42.79 66.05 33.95 69.76 30.24
71925__Cambridge_Bay__NT_YCB 52.49 47.51 65.23 34.77 30.70 69.30
71925__Cambridge_Bay__NT_YCB 45.95 54.05 65.12 34.88 68.39 31.61
71925__Cambridge_Bay__NT_YCB 40.76 59.24 63.88 36.12 66.45 33.55
71925__Cambridge_Bay__NT_YCB 41.39 58.61 34.15 65.85 31.54 68.46
71925__Cambridge_Bay__NT_YCB 38.39 61.61 33.64 66.36 33.17 66.83
71925__Cambridge_Bay__NT_YCB 41.06 58.94 64.93 35.07 68.14 31.86
71925__Cambridge_Bay__NT_YCB 44.52 55.48 38.08 61.92 66.04 33.96
