Station Neg Pos Neg1 Neg2 Pos1 Pos2
71043__Norman_Wells_Ua__NT_YVQ 63.08 36.92 75.84 24.16 73.07 26.93 DJF
71043__Norman_Wells_Ua__NT_YVQ 40.08 59.92 70.25 29.75 29.28 70.72 JJA
71043__Norman_Wells_Ua__NT_YVQ 44.39 55.61 29.85 70.15 72.16 27.84 MAM
71043__Norman_Wells_Ua__NT_YVQ 55.99 44.01 31.04 68.96 71.81 28.19 SON
71081__Hall_Beach__NT_YUX 12.36 87.64 68.76 31.24 33.68 66.32 DJF
71081__Hall_Beach__NT_YUX 47.36 52.64 36.42 63.58 65.04 34.96 JJA
71081__Hall_Beach__NT_YUX 25.39 74.61 62.30 37.70 34.36 65.64 MAM
71081__Hall_Beach__NT_YUX 19.13 80.87 39.80 60.20 66.06 33.94 SON
71082__Alert__NT_WLT 66.99 33.01 21.84 78.16 33.59 66.41 DJF
71082__Alert__NT_WLT 51.58 48.42 22.21 77.79 71.28 28.72 JJA
71082__Alert__NT_WLT 65.28 34.72 23.97 76.03 26.22 73.78 MAM
71082__Alert__NT_WLT 68.13 31.87 78.93 21.07 74.07 25.93 SON
71906__Kuujjuaq__QB_YVP 73.11 26.89 58.72 41.28 61.93 38.07 DJF
71906__Kuujjuaq__QB_YVP 43.90 56.10 59.62 40.38 62.47 37.53 JJA
71906__Kuujjuaq__QB_YVP 50.69 49.31 58.85 41.15 39.25 60.75 MAM
71906__Kuujjuaq__QB_YVP 69.57 30.43 44.18 55.82 40.87 59.13 SON
71907__Inukjuak__QB_WPH 52.69 47.31 34.12 65.88 65.03 34.97 DJF
71907__Inukjuak__QB_WPH 36.46 63.54 35.43 64.57 37.57 62.43 JJA
71907__Inukjuak__QB_WPH 52.38 47.62 39.14 60.86 61.90 38.10 MAM
71907__Inukjuak__QB_WPH 44.97 55.03 41.11 58.89 60.81 39.19 SON
71917__Eureka__NT_WEU 45.29 54.71 19.68 80.32 71.63 28.37 DJF
71917__Eureka__NT_WEU 31.79 68.21 73.09 26.91 73.56 26.44 JJA
71917__Eureka__NT_WEU 38.16 61.84 21.23 78.77 73.40 26.60 MAM
71917__Eureka__NT_WEU 35.82 64.18 22.76 77.24 73.62 26.38 SON
71925__Cambridge_Bay__NT_YCB 80.80 19.20 63.27 36.73 32.38 67.62 DJF
71925__Cambridge_Bay__NT_YCB 33.19 66.81 57.90 42.10 36.80 63.20 JJA
71925__Cambridge_Bay__NT_YCB 46.57 53.43 37.99 62.01 63.98 36.02 MAM
71925__Cambridge_Bay__NT_YCB 49.57 50.43 39.91 60.09 35.53 64.47 SON
71926__Baker_Lake__NT_YBK 68.62 31.38 61.39 38.61 33.26 66.74 DJF
71926__Baker_Lake__NT_YBK 44.01 55.99 62.71 37.29 60.79 39.21 JJA
71926__Baker_Lake__NT_YBK 51.75 48.25 59.46 40.54 61.91 38.09 MAM
71926__Baker_Lake__NT_YBK 43.77 56.23 40.39 59.61 35.97 64.03 SON
71934__Fort_Smith__NT_YSM 70.27 29.73 36.02 63.98 64.90 35.10 DJF
71934__Fort_Smith__NT_YSM 46.15 53.85 62.36 37.64 62.21 37.79 JJA
71934__Fort_Smith__NT_YSM 51.60 48.40 41.13 58.87 36.56 63.44 MAM
71934__Fort_Smith__NT_YSM 69.02 30.98 58.43 41.57 39.85 60.15 SON
71957__Inuvik__NT_YEV 59.11 40.89 70.56 29.44 69.48 30.52 DJF
71957__Inuvik__NT_YEV 29.47 70.53 70.91 29.09 67.88 32.12 JJA
71957__Inuvik__NT_YEV 34.90 65.10 27.25 72.75 31.57 68.43 MAM
71957__Inuvik__NT_YEV 32.66 67.34 36.00 64.00 32.00 68.00 SON
00000_Iqaluit_NU 22.88 77.12 38.26 61.74 71.27 28.73 DJF
00000_Iqaluit_NU 43.03 56.97 67.99 32.01 69.18 30.82 JJA
00000_Iqaluit_NU 36.68 63.32 64.00 36.00 71.33 28.67 MAM
00000_Iqaluit_NU 25.79 74.21 45.03 54.97 34.05 65.95 SON
00000_Sachs_Harbour 80.26 19.74 68.00 32.00 75.43 24.57 DJF
00000_Sachs_Harbour 36.17 63.83 34.31 65.69 34.33 65.67 JJA
00000_Sachs_Harbour 59.05 40.95 36.40 63.60 65.67 34.33 MAM
00000_Sachs_Harbour 73.59 26.41 63.65 36.35 27.86 72.14 SON
