Station Neg Pos Neg1 Neg2 Pos1 Pos2
71043__Norman_Wells_Ua__NT_YVQ 67.48 32.52 75.03 24.97 28.25 71.75 DJF
71043__Norman_Wells_Ua__NT_YVQ 41.01 58.99 69.48 30.52 70.18 29.82 JJA
71043__Norman_Wells_Ua__NT_YVQ 45.30 54.70 25.95 74.05 74.94 25.06 MAM
71043__Norman_Wells_Ua__NT_YVQ 58.62 41.38 69.54 30.46 71.19 28.81 SON
71081__Hall_Beach__NT_YUX 21.62 78.38 39.34 60.66 67.90 32.10 DJF
71081__Hall_Beach__NT_YUX 28.37 71.63 63.80 36.20 65.87 34.13 JJA
71081__Hall_Beach__NT_YUX 32.09 67.91 32.27 67.73 33.44 66.56 MAM
71081__Hall_Beach__NT_YUX 18.25 81.75 63.22 36.78 35.47 64.53 SON
71082__Alert__NT_WLT 37.97 62.03 23.81 76.19 69.76 30.24 DJF
71082__Alert__NT_WLT 43.70 56.30 23.22 76.78 73.54 26.46 JJA
71082__Alert__NT_WLT 42.79 57.21 77.72 22.28 71.54 28.46 MAM
71082__Alert__NT_WLT 16.61 83.39 34.24 65.76 71.87 28.13 SON
71906__Kuujjuaq__QB_YVP 76.51 23.49 55.76 44.24 36.21 63.79 DJF
71906__Kuujjuaq__QB_YVP 46.83 53.17 60.24 39.76 62.04 37.96 JJA
71906__Kuujjuaq__QB_YVP 53.72 46.28 57.77 42.23 60.33 39.67 MAM
71906__Kuujjuaq__QB_YVP 71.16 28.84 44.60 55.40 39.50 60.50 SON
71907__Inukjuak__QB_WPH 35.67 64.33 61.68 38.32 62.87 37.13 DJF
71907__Inukjuak__QB_WPH 33.63 66.37 62.90 37.10 37.35 62.65 JJA
71907__Inukjuak__QB_WPH 49.92 50.08 60.73 39.27 58.17 41.83 MAM
71907__Inukjuak__QB_WPH 44.10 55.90 60.17 39.83 62.96 37.04 SON
71917__Eureka__NT_WEU 42.81 57.19 25.28 74.72 30.24 69.76 DJF
71917__Eureka__NT_WEU 31.69 68.31 27.81 72.19 71.14 28.86 JJA
71917__Eureka__NT_WEU 45.65 54.35 78.29 21.71 75.11 24.89 MAM
71917__Eureka__NT_WEU 17.78 82.22 44.94 55.06 72.84 27.16 SON
71925__Cambridge_Bay__NT_YCB 74.99 25.01 38.34 61.66 31.03 68.97 DJF
71925__Cambridge_Bay__NT_YCB 31.42 68.58 57.69 42.31 37.31 62.69 JJA
71925__Cambridge_Bay__NT_YCB 45.06 54.94 62.30 37.70 64.08 35.92 MAM
71925__Cambridge_Bay__NT_YCB 49.88 50.12 58.80 41.20 65.31 34.69 SON
71926__Baker_Lake__NT_YBK 66.73 33.27 41.24 58.76 35.47 64.53 DJF
71926__Baker_Lake__NT_YBK 43.41 56.59 59.85 40.15 38.10 61.90 JJA
71926__Baker_Lake__NT_YBK 54.39 45.61 37.95 62.05 62.25 37.75 MAM
71926__Baker_Lake__NT_YBK 46.23 53.77 58.07 41.93 64.84 35.16 SON
71934__Fort_Smith__NT_YSM 73.43 26.57 61.66 38.34 64.44 35.56 DJF
71934__Fort_Smith__NT_YSM 44.33 55.67 62.13 37.87 61.33 38.67 JJA
71934__Fort_Smith__NT_YSM 52.08 47.92 60.40 39.60 62.09 37.91 MAM
71934__Fort_Smith__NT_YSM 68.68 31.32 57.95 42.05 62.54 37.46 SON
71957__Inuvik__NT_YEV 60.19 39.81 32.31 67.69 68.39 31.61 DJF
71957__Inuvik__NT_YEV 33.81 66.19 70.50 29.50 30.35 69.65 JJA
71957__Inuvik__NT_YEV 36.14 63.86 70.17 29.83 70.99 29.01 MAM
71957__Inuvik__NT_YEV 41.63 58.37 65.94 34.06 66.54 33.46 SON
00000_Iqaluit_NU 9.60 90.40 58.80 41.20 33.61 66.39 DJF
00000_Iqaluit_NU 40.72 59.28 34.49 65.51 70.87 29.13 JJA
00000_Iqaluit_NU 16.49 83.51 62.12 37.88 68.71 31.29 MAM
00000_Iqaluit_NU 27.64 72.36 56.70 43.30 66.63 33.37 SON
00000_Sachs_Harbour 83.69 16.31 63.32 36.68 76.69 23.31 DJF
00000_Sachs_Harbour 30.43 69.57 38.32 61.68 62.92 37.08 JJA
00000_Sachs_Harbour 59.50 40.50 35.35 64.65 65.83 34.17 MAM
00000_Sachs_Harbour 77.36 22.64 37.60 62.40 32.21 67.79 SON
